sub_district,district,province
Wang Ngio Tai,Dong Charoen,Phichit
Wang Sai Phun,Wang Sai Phun,Phichit
Wang Samrong,Taphan Hin,Phichit
Wang Samrong,Bang Mun Nak,Phichit
Wang Taku,Bang Mun Nak,Phichit
Wang Thap Sai,Sak Lek,Phichit
Wang Wa,Taphan Hin,Phichit
Wat Khwang,Pho Thale,Phichit
Aranyik,Mueang Phitsanulok,Phitsanulok
Ban Dong,Chat Trakan,Phitsanulok
Ban Khlong,Mueang Phitsanulok,Phitsanulok
Ban Klang,Wang Thong,Phitsanulok
Ban Krang,Mueang Phitsanulok,Phitsanulok
Ban Mung,Noen Maprang,Phitsanulok
Ban Noi Sum Khi Lek,Noen Maprang,Phitsanulok
Ban Pa,Mueang Phitsanulok,Phitsanulok
Ban Phrao,Nakhon Thai,Phitsanulok
Ban Rai,Bang Krathum,Phitsanulok
Ban Yaeng,Nakhon Thai,Phitsanulok
Ban Yang,Wat Bot,Phitsanulok
Bang Krathum,Bang Krathum,Phitsanulok
Bang Rakam,Bang Rakam,Phitsanulok
Bo Phak,Chat Trakan,Phitsanulok
Bo Pho,Nakhon Thai,Phitsanulok
Bo Thong,Bang Rakam,Phitsanulok
Bueng Kok,Bang Rakam,Phitsanulok
Bueng Phra,Mueang Phitsanulok,Phitsanulok
Chai Nam,Wang Thong,Phitsanulok
Chat Trakan,Chat Trakan,Phitsanulok
Chom Thong,Mueang Phitsanulok,Phitsanulok
Chomphu,Noen Maprang,Phitsanulok
Chum Saeng Songkhram,Bang Rakam,Phitsanulok
Din Thong,Wang Thong,Phitsanulok
Don Thong,Mueang Phitsanulok,Phitsanulok
Dong Prakham,Phrom Phiram,Phitsanulok
Hin Lat,Wat Bot,Phitsanulok
Ho Klong,Phrom Phiram,Phitsanulok
Hua Ro,Mueang Phitsanulok,Phitsanulok
Huai Hia,Nakhon Thai,Phitsanulok
Kaeng Sopha,Wang Thong,Phitsanulok
Khan Chong,Wat Bot,Phitsanulok
Khok Salut,Bang Krathum,Phitsanulok
Khui Muang,Bang Rakam,Phitsanulok
Mae Raka,Wang Thong,Phitsanulok
Makham Sung,Mueang Phitsanulok,Phitsanulok
Matong,Phrom Phiram,Phitsanulok
Matum,Phrom Phiram,Phitsanulok
Na Bua,Nakhon Thai,Phitsanulok
Nai Mueang,Mueang Phitsanulok,Phitsanulok
Nakhon Chum,Nakhon Thai,Phitsanulok
Nakhon Pa Mak,Bang Krathum,Phitsanulok
Nakhon Thai,Nakhon Thai,Phitsanulok
Nam Kum,Nakhon Thai,Phitsanulok
Ngio Ngam,Mueang Phitsanulok,Phitsanulok
Nikhom Phatthana,Bang Rakam,Phitsanulok
Noen Kum,Bang Krathum,Phitsanulok
Noen Maprang,Noen Maprang,Phitsanulok
Noen Phoem,Nakhon Thai,Phitsanulok
Nong Kathao,Nakhon Thai,Phitsanulok
Nong Khaem,Phrom Phiram,Phitsanulok
Nong Kula,Bang Rakam,Phitsanulok
Nong Phra,Wang Thong,Phitsanulok
Pa Daeng,Chat Trakan,Phitsanulok
Pak Thok,Mueang Phitsanulok,Phitsanulok
Phai Kho Don,Mueang Phitsanulok,Phitsanulok
Phai Lom,Bang Krathum,Phitsanulok
Phan Chali,Wang Thong,Phitsanulok
Phan Sao,Bang Rakam,Phitsanulok
Phlai Chumphon,Mueang Phitsanulok,Phitsanulok
Phrom Phiram,Phrom Phiram,Phitsanulok
Plak Raet,Bang Rakam,Phitsanulok
Sai Yoi,Noen Maprang,Phitsanulok
Samo Khae,Mueang Phitsanulok,Phitsanulok
Sanam Khli,Bang Krathum,Phitsanulok
Si Phirom,Phrom Phiram,Phitsanulok
Suan Miang,Chat Trakan,Phitsanulok
Taluk Thiam,Phrom Phiram,Phitsanulok
Tha Chang,Phrom Phiram,Phitsanulok
Tha Muen Ram,Wang Thong,Phitsanulok
Tha Nang Ngam,Bang Rakam,Phitsanulok
Tha Ngam,Wat Bot,Phitsanulok
Tha Pho,Mueang Phitsanulok,Phitsanulok
Tha Sakae,Chat Trakan,Phitsanulok
Tha Tan,Bang Krathum,Phitsanulok
Tha Thong,Mueang Phitsanulok,Phitsanulok
Thap Yai Chiang,Phrom Phiram,Phitsanulok
Tho Thae,Wat Bot,Phitsanulok
Wang I Thok,Bang Rakam,Phitsanulok
Wang Nam Khu,Mueang Phitsanulok,Phitsanulok
Wang Nok Aen,Wang Thong,Phitsanulok
Wang Phikun,Wang Thong,Phitsanulok
Wang Phrong,Noen Maprang,Phitsanulok
Wang Thong,Wang Thong,Phitsanulok
Wang Won,Phrom Phiram,Phitsanulok
Wang Yang,Noen Maprang,Phitsanulok
Wat Bot,Wat Bot,Phitsanulok
Wat Chan,Mueang Phitsanulok,Phitsanulok
Wat Phrik,Mueang Phitsanulok,Phitsanulok
Wat Ta Yom,Bang Krathum,Phitsanulok
Wong Khong,Phrom Phiram,Phitsanulok
Yang Klon,Nakhon Thai,Phitsanulok
Ammarit,Phak Hai,Phra Nakhon Si Ayutthaya
Ban Chang,Uthai,Phra Nakhon Si Ayutthaya
Ban Chung,Nakhon Luang,Phra Nakhon Si Ayutthaya
Ban Hip,Uthai,Phra Nakhon Si Ayutthaya
Ban Khae,Phak Hai,Phra Nakhon Si Ayutthaya
Ban Khlang,Bang Ban,Phra Nakhon Si Ayutthaya
Ban Khlo,Bang Pahan,Phra Nakhon Si Ayutthaya
Ban Khwang,Maha Rat,Phra Nakhon Si Ayutthaya
Ban Klueng,Bang Sai,Phra Nakhon Si Ayutthaya
Ban Ko,Bang Sai,Phra Nakhon Si Ayutthaya
Ban Ko,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Ban Krathum,Sena,Phra Nakhon Si Ayutthaya
Ban Krot,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Kum,Bang Ban,Phra Nakhon Si Ayutthaya
Ban Len,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Li,Bang Pahan,Phra Nakhon Si Ayutthaya
Ban Luang,Sena,Phra Nakhon Si Ayutthaya
Ban Ma,Bang Pahan,Phra Nakhon Si Ayutthaya
Ban Ma,Bang Sai,Phra Nakhon Si Ayutthaya
Ban Mai,Ban Phraek,Phra Nakhon Si Ayutthaya
Ban Mai,Maha Rat,Phra Nakhon Si Ayutthaya
Ban Mai,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Ban Na,Maha Rat,Phra Nakhon Si Ayutthaya
Ban Paeng,Bang Sai,Phra Nakhon Si Ayutthaya
Ban Paeng,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Phaen,Sena,Phra Nakhon Si Ayutthaya
Ban Phlap,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Pho,Sena,Phra Nakhon Si Ayutthaya
Ban Pho,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Phraek,Ban Phraek,Phra Nakhon Si Ayutthaya
Ban Pom,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Ban Rom,Tha Ruea,Phra Nakhon Si Ayutthaya
Ban Run,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Ban Sang,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Thaeo,Sena,Phra Nakhon Si Ayutthaya
Ban Wa,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ban Yai,Phak Hai,Phra Nakhon Si Ayutthaya
Bang Ban,Bang Ban,Phra Nakhon Si Ayutthaya
Bang Chani,Bang Ban,Phra Nakhon Si Ayutthaya
Bang Duea,Bang Pahan,Phra Nakhon Si Ayutthaya
Bang Hak,Bang Ban,Phra Nakhon Si Ayutthaya
Bang Krasan,Bang Pa-in,Phra Nakhon Si Ayutthaya
Bang Luang,Bang Ban,Phra Nakhon Si Ayutthaya
Bang Luang Dot,Bang Ban,Phra Nakhon Si Ayutthaya
Bang Na,Maha Rat,Phra Nakhon Si Ayutthaya
Bang Nang Ra,Bang Pahan,Phra Nakhon Si Ayutthaya
Bang Nom Kho,Sena,Phra Nakhon Si Ayutthaya
Bang Pahan,Bang Pahan,Phra Nakhon Si Ayutthaya
Bang Phli,Bang Sai,Phra Nakhon Si Ayutthaya
Bang Phloeng,Bang Pahan,Phra Nakhon Si Ayutthaya
Bang Phrakhru,Nakhon Luang,Phra Nakhon Si Ayutthaya
Bang Pradaeng,Bang Pa-in,Phra Nakhon Si Ayutthaya
Bang Rakam,Nakhon Luang,Phra Nakhon Si Ayutthaya
Bang Sai,Bang Sai,Phra Nakhon Si Ayutthaya
Bang Yitho,Bang Sai,Phra Nakhon Si Ayutthaya
Bo Phong,Nakhon Luang,Phra Nakhon Si Ayutthaya
Bo Ta Lo,Wang Noi,Phra Nakhon Si Ayutthaya
Chai Na,Sena,Phra Nakhon Si Ayutthaya
Chakkarat,Phak Hai,Phra Nakhon Si Ayutthaya
Chamaep,Wang Noi,Phra Nakhon Si Ayutthaya
Champa,Tha Ruea,Phra Nakhon Si Ayutthaya
Chang Lek,Bang Sai,Phra Nakhon Si Ayutthaya
Chang Noi,Bang Sai,Phra Nakhon Si Ayutthaya
Chang Yai,Bang Sai,Phra Nakhon Si Ayutthaya
Chao Chet,Sena,Phra Nakhon Si Ayutthaya
Chao Pluk,Maha Rat,Phra Nakhon Si Ayutthaya
Chao Sadet,Sena,Phra Nakhon Si Ayutthaya
Chiang Rak Noi,Bang Sai,Phra Nakhon Si Ayutthaya
Chiang Rak Noi,Bang Pa-in,Phra Nakhon Si Ayutthaya
Don Lan,Phak Hai,Phra Nakhon Si Ayutthaya
Don Thong,Sena,Phra Nakhon Si Ayutthaya
Don Ya Nang,Phachi,Phra Nakhon Si Ayutthaya
Han Sang,Bang Pahan,Phra Nakhon Si Ayutthaya
Han Taphao,Wang Noi,Phra Nakhon Si Ayutthaya
Han Tra,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Ho Mok,Bang Sai,Phra Nakhon Si Ayutthaya
Ho Rattana Chai,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Hua Phai,Maha Rat,Phra Nakhon Si Ayutthaya
Hua Ro,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Hua Wiang,Sena,Phra Nakhon Si Ayutthaya
Kaeo Fa,Bang Sai,Phra Nakhon Si Ayutthaya
Kamang,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Kathum,Maha Rat,Phra Nakhon Si Ayutthaya
Khae Ok,Bang Sai,Phra Nakhon Si Ayutthaya
Khae Tok,Bang Sai,Phra Nakhon Si Ayutthaya
Khan Ham,Uthai,Phra Nakhon Si Ayutthaya
Khanon Luang,Bang Pa-in,Phra Nakhon Si Ayutthaya
Khao Mao,Uthai,Phra Nakhon Si Ayutthaya
Khao Ngam,Wang Noi,Phra Nakhon Si Ayutthaya
Khayai,Bang Pahan,Phra Nakhon Si Ayutthaya
Khlong Chik,Bang Pa-in,Phra Nakhon Si Ayutthaya
Khlong Noi,Ban Phraek,Phra Nakhon Si Ayutthaya
Khlong Phraya Banlue,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Khlong Sa Bua,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Khlong Sakae,Nakhon Luang,Phra Nakhon Si Ayutthaya
Khlong Suan Phu,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Khlong Takhian,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Khok Chang,Phak Hai,Phra Nakhon Si Ayutthaya
Khok Chang,Bang Sai,Phra Nakhon Si Ayutthaya
Khok Muang,Phachi,Phra Nakhon Si Ayutthaya
Khu Salot,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Khung Lan,Bang Pa-in,Phra Nakhon Si Ayutthaya
Khwan Mueang,Bang Pahan,Phra Nakhon Si Ayutthaya
Ko Koet,Bang Pa-in,Phra Nakhon Si Ayutthaya
Ko Rian,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Kok Kaeo Burapha,Bang Sai,Phra Nakhon Si Ayutthaya
Kop Chao,Bang Ban,Phra Nakhon Si Ayutthaya
Krachaeng,Bang Sai,Phra Nakhon Si Ayutthaya
Krachio,Phachi,Phra Nakhon Si Ayutthaya
Ku Di,Phak Hai,Phra Nakhon Si Ayutthaya
Lak Chai,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Lam Sai,Wang Noi,Phra Nakhon Si Ayutthaya
Lam Ta Sao,Wang Noi,Phra Nakhon Si Ayutthaya
Lam Takhian,Phak Hai,Phra Nakhon Si Ayutthaya
Lat Bua Luang,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Lat Chit,Phak Hai,Phra Nakhon Si Ayutthaya
Lat Nam Khem,Phak Hai,Phra Nakhon Si Ayutthaya
Lat Nga,Sena,Phra Nakhon Si Ayutthaya
Lumphli,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Mae La,Nakhon Luang,Phra Nakhon Si Ayutthaya
Mahaphram,Bang Ban,Phra Nakhon Si Ayutthaya
Maharat,Maha Rat,Phra Nakhon Si Ayutthaya
Mai Tra,Bang Sai,Phra Nakhon Si Ayutthaya
Man Wichai,Sena,Phra Nakhon Si Ayutthaya
Na Khok,Phak Hai,Phra Nakhon Si Ayutthaya
Na Khu,Phak Hai,Phra Nakhon Si Ayutthaya
Na Mai,Bang Sai,Phra Nakhon Si Ayutthaya
Nakhon Luang,Nakhon Luang,Phra Nakhon Si Ayutthaya
Namtao,Maha Rat,Phra Nakhon Si Ayutthaya
Namtao,Bang Ban,Phra Nakhon Si Ayutthaya
Nong Khanak,Tha Ruea,Phra Nakhon Si Ayutthaya
Nong Mai Sung,Uthai,Phra Nakhon Si Ayutthaya
Nong Nam Sai,Phachi,Phra Nakhon Si Ayutthaya
Nong Nam Som,Uthai,Phra Nakhon Si Ayutthaya
Nong Nam Yai,Phak Hai,Phra Nakhon Si Ayutthaya
Nong Pling,Nakhon Luang,Phra Nakhon Si Ayutthaya
Pak Chan,Nakhon Luang,Phra Nakhon Si Ayutthaya
Pak Kran,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Pak Tha,Tha Ruea,Phra Nakhon Si Ayutthaya
Phachi,Phachi,Phra Nakhon Si Ayutthaya
Phai Ling,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Phai Lom,Phachi,Phra Nakhon Si Ayutthaya
Phai Phra,Bang Sai,Phra Nakhon Si Ayutthaya
Phak Hai,Phak Hai,Phra Nakhon Si Ayutthaya
Phayom,Wang Noi,Phra Nakhon Si Ayutthaya
Phit Phian,Maha Rat,Phra Nakhon Si Ayutthaya
Pho En,Tha Ruea,Phra Nakhon Si Ayutthaya
Pho Sam Ton,Bang Pahan,Phra Nakhon Si Ayutthaya
Pho Sao Han,Uthai,Phra Nakhon Si Ayutthaya
Phra Kaeo,Phachi,Phra Nakhon Si Ayutthaya
Phra Khao,Bang Ban,Phra Nakhon Si Ayutthaya
Phra Non,Nakhon Luang,Phra Nakhon Si Ayutthaya
Phraya Banlue,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Phu Khao Thong,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Phut Lao,Bang Pahan,Phra Nakhon Si Ayutthaya
Plai Klat,Bang Sai,Phra Nakhon Si Ayutthaya
Pratu Chai,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Rang Chorakhe,Sena,Phra Nakhon Si Ayutthaya
Rasom,Phachi,Phra Nakhon Si Ayutthaya
Ratchakhram,Bang Sai,Phra Nakhon Si Ayutthaya
Rong Chang,Maha Rat,Phra Nakhon Si Ayutthaya
Sai Noi,Bang Ban,Phra Nakhon Si Ayutthaya
Sala Loi,Tha Ruea,Phra Nakhon Si Ayutthaya
Sam Bandit,Uthai,Phra Nakhon Si Ayutthaya
Sam Ko,Sena,Phra Nakhon Si Ayutthaya
Sam Mueang,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Sam Phaniang,Ban Phraek,Phra Nakhon Si Ayutthaya
Sam Ruean,Bang Pa-in,Phra Nakhon Si Ayutthaya
Sam Thai,Nakhon Luang,Phra Nakhon Si Ayutthaya
Sam Tum,Sena,Phra Nakhon Si Ayutthaya
Samphao Lom,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Sanam Chai,Bang Sai,Phra Nakhon Si Ayutthaya
Sanap Thuep,Wang Noi,Phra Nakhon Si Ayutthaya
Sao Thong,Bang Pahan,Phra Nakhon Si Ayutthaya
Saphan Thai,Bang Ban,Phra Nakhon Si Ayutthaya
Sena,Sena,Phra Nakhon Si Ayutthaya
Sena,Uthai,Phra Nakhon Si Ayutthaya
Singhanat,Lat Bua Luang,Phra Nakhon Si Ayutthaya
Song Hong,Ban Phraek,Phra Nakhon Si Ayutthaya
Suan Phrik,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Ta Lan,Phak Hai,Phra Nakhon Si Ayutthaya
Taling Chan,Bang Pa-in,Phra Nakhon Si Ayutthaya
Tan En,Bang Pahan,Phra Nakhon Si Ayutthaya
Tanim,Bang Pahan,Phra Nakhon Si Ayutthaya
Tao Lao,Bang Sai,Phra Nakhon Si Ayutthaya
Tha Chang,Nakhon Luang,Phra Nakhon Si Ayutthaya
Tha Chao Sanuk,Tha Ruea,Phra Nakhon Si Ayutthaya
Tha Din Daeng,Phak Hai,Phra Nakhon Si Ayutthaya
Tha Luang,Tha Ruea,Phra Nakhon Si Ayutthaya
Tha Ruea,Tha Ruea,Phra Nakhon Si Ayutthaya
Tha To,Maha Rat,Phra Nakhon Si Ayutthaya
Tha Wasukri,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Thang Chang,Bang Ban,Phra Nakhon Si Ayutthaya
Thang Klang,Bang Pahan,Phra Nakhon Si Ayutthaya
Thanu,Uthai,Phra Nakhon Si Ayutthaya
Thap Nam,Bang Pahan,Phra Nakhon Si Ayutthaya
Thep Mongkhon,Bang Sai,Phra Nakhon Si Ayutthaya
Uthai,Uthai,Phra Nakhon Si Ayutthaya
Wang Chula,Wang Noi,Phra Nakhon Si Ayutthaya
Wang Daeng,Tha Ruea,Phra Nakhon Si Ayutthaya
Wang Noi,Wang Noi,Phra Nakhon Si Ayutthaya
Wang Phatthana,Bang Sai,Phra Nakhon Si Ayutthaya
Wat Taku,Bang Ban,Phra Nakhon Si Ayutthaya
Wat Tum,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya
Wat Yom,Bang Pa-in,Phra Nakhon Si Ayutthaya
Wat Yom,Bang Ban,Phra Nakhon Si Ayutthaya
Ban Kat,Sung Men,Phrae
Ban Klang,Song,Phrae
Ban Kwang,Sung Men,Phrae
Ban Lao,Sung Men,Phrae
Ban Nun,Song,Phrae
Ban Pin,Long,Phrae
Ban Pong,Sung Men,Phrae
Ban Thin,Mueang Phrae,Phrae
Ban Wiang,Mueang Phrae,Phrae
Bo Lek Long,Long,Phrae
Cho Hae,Mueang Phrae,Phrae
Daen Chumphon,Song,Phrae
Den Chai,Den Chai,Phrae
Don Mun,Sung Men,Phrae
Hua Fai,Sung Men,Phrae
Hua Mueang,Song,Phrae
Hua Thung,Long,Phrae
Huai Ma,Mueang Phrae,Phrae
Huai Mai,Song,Phrae
Huai O,Long,Phrae
Huai Rai,Den Chai,Phrae
Huai Rong,Mueang Phrae,Phrae
Kanchana,Mueang Phrae,Phrae
Mae Chua,Den Chai,Phrae
Mae Kham Mi,Nong Muang Khai,Phrae
Mae Kham Mi,Mueang Phrae,Phrae
Mae Koeng,Wang Chin,Phrae
Mae Lai,Mueang Phrae,Phrae
Mae Pak,Wang Chin,Phrae
Mae Pan,Long,Phrae
Mae Phung,Wang Chin,Phrae
Mae Sai,Mueang Phrae,Phrae
Mae Yang Ho,Mueang Phrae,Phrae
Mae Yang Rong,Mueang Phrae,Phrae
Mae Yang Tan,Mueang Phrae,Phrae
Mae Yom,Mueang Phrae,Phrae
Mueang Mo,Mueang Phrae,Phrae
Na Chak,Mueang Phrae,Phrae
Na Phun,Wang Chin,Phrae
Nai Wiang,Mueang Phrae,Phrae
Nam Cham,Sung Men,Phrae
Nam Cham,Mueang Phrae,Phrae
Nam Lao,Mueang Phrae,Phrae
Nam Rat,Nong Muang Khai,Phrae
Nong Muang Khai,Nong Muang Khai,Phrae
Pa Daeng,Mueang Phrae,Phrae
Pa Maet,Mueang Phrae,Phrae
Pa Sak,Wang Chin,Phrae
Pak Kang,Long,Phrae
Phai Thon,Mueang Phrae,Phrae
Phra Luang,Sung Men,Phrae
Pong Pa Wai,Den Chai,Phrae
Rong Fong,Mueang Phrae,Phrae
Rong Kat,Sung Men,Phrae
Rong Khem,Mueang Phrae,Phrae
Rong Kwang,Mueang Phrae,Phrae
Sai Yoi,Den Chai,Phrae
Sa-Iap,Song,Phrae
Si Narong,Mueang Phrae,Phrae
Soi,Wang Chin,Phrae
Sop Sai,Sung Men,Phrae
Suan Khuean,Mueang Phrae,Phrae
Sung Men,Sung Men,Phrae
Ta Pha Mok,Long,Phrae
Tamnak Tham,Nong Muang Khai,Phrae
Tao Pun,Song,Phrae
Tha Kham,Mueang Phrae,Phrae
Thung Hong,Mueang Phrae,Phrae
Thung Khaeo,Nong Muang Khai,Phrae
Thung Kwao,Mueang Phrae,Phrae
Thung Laeng,Long,Phrae
Thung Nao,Song,Phrae
Wang Chin,Wang Chin,Phrae
Wang Hong,Mueang Phrae,Phrae
Wang Luang,Nong Muang Khai,Phrae
Wang Thong,Mueang Phrae,Phrae
Wiang Ta,Long,Phrae
Wiang Thong,Sung Men,Phrae
Chalong,Mueang Phuket,Phuket
Choeng Thale,Thalang,Phuket
District,Mueang Phuket,Phuket
Kamala,Kathu,Phuket
Karon,Mueang Phuket,Phuket
Kathu,Kathu,Phuket
Ko Kaeo,Mueang Phuket,Phuket
Mai Khao,Thalang,Phuket
Pa Khlok,Thalang,Phuket
Patong,Kathu,Phuket
Rawai,Mueang Phuket,Phuket
Sakhu,Thalang,Phuket
Si Sunthon,Thalang,Phuket
Talat Nuea,Mueang Phuket,Phuket
Talat Yai,Mueang Phuket,Phuket
Thep Krasattri,Thalang,Phuket
Ban Hoi,Prachantakham,Prachin Buri
Ban Na,Kabin Buri,Prachin Buri
Ban Phra,Mueang Prachin Buri,Prachin Buri
Ban Sang,Ban Sang,Prachin Buri
Ban Tham,Si Maha Phot,Prachin Buri
Bang Boribun,Mueang Prachin Buri,Prachin Buri
Bang Decha,Mueang Prachin Buri,Prachin Buri
Bang Kham,Ban Sang,Prachin Buri
Bang Krabao,Ban Sang,Prachin Buri
Bang Kung,Si Maha Phot,Prachin Buri
Bang Phluang,Ban Sang,Prachin Buri
Bang Pla Ra,Ban Sang,Prachin Buri
Bang Taen,Ban Sang,Prachin Buri
Bang Toei,Ban Sang,Prachin Buri
Bang Yang,Ban Sang,Prachin Buri
Bo Thong,Kabin Buri,Prachin Buri
Bu Fai,Prachantakham,Prachin Buri
Bu Phram,Na Di,Prachin Buri
District,Prachantakham,Prachin Buri
Dong Bang,Prachantakham,Prachin Buri
Dong Khi Lek,Mueang Prachin Buri,Prachin Buri
Dong Krathong Yam,Si Maha Phot,Prachin Buri
Dong Phraram,Mueang Prachin Buri,Prachin Buri
Hat Nang Kaeo,Kabin Buri,Prachin Buri
Hat Yang,Si Maha Phot,Prachin Buri
Hua Wa,Si Maha Phot,Prachin Buri
Kabin,Kabin Buri,Prachin Buri
Kaeng Dinso,Na Di,Prachin Buri
Kham Tanot,Prachantakham,Prachin Buri
Khao Mai Kaeo,Kabin Buri,Prachin Buri
Khok Mai Lai,Mueang Prachin Buri,Prachin Buri
Khok Pip,Si Mahosot,Prachin Buri
Khok Thai,Si Mahosot,Prachin Buri
Khu Lamphan,Si Mahosot,Prachin Buri
Ko Loi,Prachantakham,Prachin Buri
Krathum Phaeo,Ban Sang,Prachin Buri
Krok Sombun,Si Maha Phot,Prachin Buri
Lat Takhian,Kabin Buri,Prachin Buri
Mueang Kao,Kabin Buri,Prachin Buri
Na Di,Na Di,Prachin Buri
Na Khaem,Kabin Buri,Prachin Buri
Na Mueang,Mueang Prachin Buri,Prachin Buri
Noen Hom,Mueang Prachin Buri,Prachin Buri
Non Hom,Mueang Prachin Buri,Prachin Buri
Nong Kaeo,Prachantakham,Prachin Buri
Nong Ki,Kabin Buri,Prachin Buri
Nong Phrong,Si Maha Phot,Prachin Buri
Nong Saeng,Prachantakham,Prachin Buri
Nonsi,Kabin Buri,Prachin Buri
Phai Chalueat,Si Mahosot,Prachin Buri
Prachantakham,Prachantakham,Prachin Buri
Rop Mueang,Mueang Prachin Buri,Prachin Buri
Sam Phan Ta,Na Di,Prachin Buri
Samphan,Si Maha Phot,Prachin Buri
Saphan Hin,Na Di,Prachin Buri
Si Mahapho,Si Maha Phot,Prachin Buri
Tha Ngam,Mueang Prachin Buri,Prachin Buri
Tha Tum,Si Maha Phot,Prachin Buri
Thung Pho,Na Di,Prachin Buri
Wang Dan,Kabin Buri,Prachin Buri
Wang Takhian,Kabin Buri,Prachin Buri
Wang Tha Chang,Kabin Buri,Prachin Buri
Wat Bot,Mueang Prachin Buri,Prachin Buri
Yan Ri,Kabin Buri,Prachin Buri
Ang Thong,Thap Sakae,Prachuap Khiri Khan
Ao Noi,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan
Bang Saphan,Bang Saphan Noi,Prachuap Khiri Khan
Bo Nok,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan
Bueng Nakhon,Hua Hin,Prachuap Khiri Khan
Chai Kasem,Bang Saphan,Prachuap Khiri Khan
Chaiyarat,Bang Saphan Noi,Prachuap Khiri Khan
Chang Raek,Bang Saphan Noi,Prachuap Khiri Khan
Don Yai Nu,Kui Buri,Prachuap Khiri Khan
Hat Kham,Kui Buri,Prachuap Khiri Khan
Hin Lek Fai,Hua Hin,Prachuap Khiri Khan
Hua Hin,Hua Hin,Prachuap Khiri Khan
Huai Sai,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan
Huai Sat Yai,Hua Hin,Prachuap Khiri Khan
Huai Yang,Thap Sakae,Prachuap Khiri Khan
Kamnoet Nopphakhun,Bang Saphan,Prachuap Khiri Khan
Khao Chao,Pran Buri,Prachuap Khiri Khan
Khao Daeng,Kui Buri,Prachuap Khiri Khan
Khao Lan,Thap Sakae,Prachuap Khiri Khan
Khao Noi,Pran Buri,Prachuap Khiri Khan
Khlong Wan,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan
Ko Lak,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan
Kui Buri,Kui Buri,Prachuap Khiri Khan
Kui Nuea,Kui Buri,Prachuap Khiri Khan
Mae Ramphueng,Bang Saphan,Prachuap Khiri Khan
Na Hu Kwang,Thap Sakae,Prachuap Khiri Khan
Nong Kae,Hua Hin,Prachuap Khiri Khan
Nong Phlap,Hua Hin,Prachuap Khiri Khan
Nong Ta Taem,Pran Buri,Prachuap Khiri Khan
Pak Nam Pran,Pran Buri,Prachuap Khiri Khan
Pak Phraek,Bang Saphan Noi,Prachuap Khiri Khan
Phong Prasat,Bang Saphan,Prachuap Khiri Khan
Prachuap Khiri Khan,Mueang Prachuap Khiri Khan,Prachuap Khiri Khan
Pran Buri,Pran Buri,Prachuap Khiri Khan
Rai Kao,Sam Roi Yot,Prachuap Khiri Khan
Rai Mai,Sam Roi Yot,Prachuap Khiri Khan
Ron Thong,Bang Saphan,Prachuap Khiri Khan
Saeng Arun,Thap Sakae,Prachuap Khiri Khan
Sai Thong,Bang Saphan Noi,Prachuap Khiri Khan
Sala Lai,Sam Roi Yot,Prachuap Khiri Khan
